adset_id,adset_name,budget_spend,campaign_id,campaign_name,clicks,impressions,installs,objective,revenue,status
#23843840188850538,MBL-a-fb-CT 9x16-20191030-J-caption15sec-1,0,#23843829854710538,MBL-a-fb-CT 2019-44,0,0,0,APP_INSTALLS,0,PAUSED
#23843834248090538,MBL-i-fb-CT 16x9-20190919-A-resizebestperf-1,0,#23843702738730538,MBL-i-fb-CT 2019-38,0,0,0,APP_INSTALLS,0,PAUSED
#23843834242650538,MBL-i-fb-CT 16x9-20191029-A-set1_neon-1,0,#23843829854770538,MBL-i-fb-CT 2019-44,0,0,0,APP_INSTALLS,0,ACTIVE
#23843834242450538,MBL-a-fb-CT 16x9-20191029-A-set1_neon-1,0,#23843829854710538,MBL-a-fb-CT 2019-44,0,0,0,APP_INSTALLS,0,PAUSED
#23843831452980538,MBL-i-fb-CT 1x1-20191028-A-set1_neon-4,0,#23843829854770538,MBL-i-fb-CT 2019-44,0,0,0,APP_INSTALLS,0,ACTIVE
#23843831452420538,MBL-a-fb-CT 1x1-20191028-A-set1_neon-4,0,#23843829854710538,MBL-a-fb-CT 2019-44,0,0,0,APP_INSTALLS,0,PAUSED
#23843831413200538,MBL-i-fb-CT 1x1-20191028-A-set1_neon-3,0,#23843829854770538,MBL-i-fb-CT 2019-44,0,0,0,APP_INSTALLS,0,PAUSED
#23843831412040538,MBL-a-fb-CT 1x1-20191028-A-set1_neon-3,0,#23843829854710538,MBL-a-fb-CT 2019-44,0,0,0,APP_INSTALLS,0,PAUSED
#23843831383810538,MBL-i-fb-CT 1x1-20191028-A-set1_neon-2,0,#23843829854770538,MBL-i-fb-CT 2019-44,0,0,0,APP_INSTALLS,0,ACTIVE
#23843831382660538,MBL-a-fb-CT 1x1-20191028-A-set1_neon-2,0,#23843829854710538,MBL-a-fb-CT 2019-44,0,0,0,APP_INSTALLS,0,PAUSED
#23843831312910538,MBL-i-fb-CT 1x1-20191028-A-set1_neon-1,0,#23843829854770538,MBL-i-fb-CT 2019-44,0,0,0,APP_INSTALLS,0,ACTIVE
#23843831312470538,MBL-a-fb-CT 1x1-20191028-A-set1_neon-1,0,#23843829854710538,MBL-a-fb-CT 2019-44,0,0,0,APP_INSTALLS,0,PAUSED
#23843830910310538,MBL-i-fb-CT 4x5-20191028-A-set1_neon-4,0,#23843829854770538,MBL-i-fb-CT 2019-44,0,0,0,APP_INSTALLS,0,PAUSED
#23843830909870538,MBL-a-fb-CT 4x5-20191028-A-set1_neon-4,0,#23843829854710538,MBL-a-fb-CT 2019-44,0,0,0,APP_INSTALLS,0,PAUSED
#23843830883970538,MBL-i-fb-CT 4x5-20191028-A-set1_neon-3,0,#23843829854770538,MBL-i-fb-CT 2019-44,0,0,0,APP_INSTALLS,0,ACTIVE
#23843830883420538,MBL-a-fb-CT 4x5-20191028-A-set1_neon-3,0,#23843829854710538,MBL-a-fb-CT 2019-44,0,0,0,APP_INSTALLS,0,PAUSED
#23843830713440538,MBL-i-fb-CT 9x16-20191028-A-set1_neon-4,0,#23843829854770538,MBL-i-fb-CT 2019-44,0,0,0,APP_INSTALLS,0,ACTIVE
#23843830712630538,MBL-a-fb-CT 9x16-20191028-A-set1_neon-4,0,#23843829854710538,MBL-a-fb-CT 2019-44,0,0,0,APP_INSTALLS,0,PAUSED
#23843830707600538,MBL-i-fb-CT 9x16-20191028-A-set1_neon-3,0,#23843829854770538,MBL-i-fb-CT 2019-44,0,0,0,APP_INSTALLS,0,ACTIVE
#23843830705750538,MBL-a-fb-CT 9x16-20191028-A-set1_neon-3,0,#23843829854710538,MBL-a-fb-CT 2019-44,0,0,0,APP_INSTALLS,0,PAUSED
#23843830203720538,MBL-i-fb-CT 4x5-20191028-A-set1_neon-2,0,#23843829854770538,MBL-i-fb-CT 2019-44,0,0,0,APP_INSTALLS,0,ACTIVE
#23843830203620538,MBL-a-fb-CT 4x5-20191028-A-set1_neon-2,0,#23843829854710538,MBL-a-fb-CT 2019-44,0,0,0,APP_INSTALLS,0,PAUSED
#23843830190980538,MBL-i-fb-CT 4x5-20191028-A-set1_neon-1,0,#23843829854770538,MBL-i-fb-CT 2019-44,0,0,0,APP_INSTALLS,0,ACTIVE
#23843830190810538,MBL-a-fb-CT 4x5-20191028-A-set1_neon-1,0,#23843829854710538,MBL-a-fb-CT 2019-44,0,0,0,APP_INSTALLS,0,PAUSED
#23843829868410538,MBL-i-fb-CT 9x16-20191028-A-set1_neon-2,0,#23843829854770538,MBL-i-fb-CT 2019-44,0,0,0,APP_INSTALLS,0,ACTIVE
#23843829868040538,MBL-a-fb-CT 9x16-20191028-A-set1_neon-2,0,#23843829854710538,MBL-a-fb-CT 2019-44,0,0,0,APP_INSTALLS,0,PAUSED
#23843829856310538,MBL-i-fb-CT 9x16-20191028-A-set1_neon-1,0,#23843829854770538,MBL-i-fb-CT 2019-44,0,0,0,APP_INSTALLS,0,ACTIVE
#23843829854860538,MBL-a-fb-CT 9x16-20191028-A-set1_neon-1,0,#23843829854710538,MBL-a-fb-CT 2019-44,0,0,0,APP_INSTALLS,0,PAUSED
#23843815674710538,MBL-i-fb-US-audiences-12_ad_impressions_5-10prc,0,#23843815641150538,MBL-i-fb-US-audiences-experiment_25.10,0,0,0,APP_INSTALLS,0,ACTIVE
#23843815674060538,MBL-i-fb-US-audiences-12_ad_impressions_5prc,0,#23843815641150538,MBL-i-fb-US-audiences-experiment_25.10,0,0,0,APP_INSTALLS,0,ACTIVE
#23843815673020538,MBL-a-fb-US-audiences-12_ad_impressions_5-10prc,0,#23843815641160538,MBL-a-fb-US-audiences-experiment_25.10,0,0,0,APP_INSTALLS,0,ACTIVE
#23843815669870538,MBL-a-fb-US-audiences-12_ad_impressions_5prc,0,#23843815641160538,MBL-a-fb-US-audiences-experiment_25.10,0,0,0,APP_INSTALLS,0,ACTIVE
#23843815641260538,MBL-a-fb-US-audiences-most_active_top10_10prc,0,#23843815641160538,MBL-a-fb-US-audiences-experiment_25.10,0,0,0,APP_INSTALLS,0,ACTIVE
#23843815641250538,MBL-a-fb-US-audiences-most_active_top10_5prc,0,#23843815641160538,MBL-a-fb-US-audiences-experiment_25.10,0,0,0,APP_INSTALLS,0,ACTIVE
