,adset_id,adset_name,budget_spend,campaign_id,campaign_name,clicks,impressions,installs,objective,revenue,status
1928,#23843446244560324,WB-i-CT-US-U 9x16-20190626-K-set1_playstore-1 - Copy,0.0,#23843446221370324,WB-i-CT 2019-27,0.0,0.0,0.0,APP_INSTALLS,0,ACTIVE
1929,#23843446225970324,WB-i-CT-US-U 4x5-20190702-K-set1_30seconds-1 - Copy,0.0,#23843446221370324,WB-i-CT 2019-27,0.0,0.0,0.0,APP_INSTALLS,0,ACTIVE
1930,#23843446225950324,WB-i-CT-US-U 9x16-20190704-i-set1_fast-1 - Copy,0.0,#23843446221370324,WB-i-CT 2019-27,0.0,0.0,0.0,APP_INSTALLS,0,ACTIVE
1931,#23843446225930324,WB-i-CT-US-U 9x16-20190704-C-set1_real-1 - Copy,0.0,#23843446221370324,WB-i-CT 2019-27,0.0,0.0,0.0,APP_INSTALLS,0,ACTIVE
1932,#23843446225920324,WB-i-CT-US-U 9x16-20190703-C-set1_real-1 - Copy,0.0,#23843446221370324,WB-i-CT 2019-27,0.0,0.0,0.0,APP_INSTALLS,0,ACTIVE
1933,#23843446225910324,WB-i-CT-US-U 4x5-20190702-K-set1_10seconds_zoomedin-1 - Copy,0.0,#23843446221370324,WB-i-CT 2019-27,0.0,0.0,0.0,APP_INSTALLS,0,ACTIVE
1934,#23843446225900324,WB-i-CT-US-U 9x16-20190704-C-set1_screen-1 - Copy,0.0,#23843446221370324,WB-i-CT 2019-27,0.0,0.0,0.0,APP_INSTALLS,0,ACTIVE
1935,#23843446225890324,WB-i-CT-US-U 16x9-20190703-C-set1_real-1 - Copy,0.0,#23843446221370324,WB-i-CT 2019-27,0.0,0.0,0.0,APP_INSTALLS,0,ACTIVE
1936,#23843446225880324,WB-i-CT-US-U 16x9-20190704-R-set1-1 - Copy,0.0,#23843446221370324,WB-i-CT 2019-27,0.0,0.0,0.0,APP_INSTALLS,0,ACTIVE
1937,#23843446225870324,WB-i-CT-US-U 9x16-20190704-i-set1_fast-2 - Copy,0.0,#23843446221370324,WB-i-CT 2019-27,0.0,0.0,0.0,APP_INSTALLS,0,ACTIVE
1938,#23843446225860324,WB-i-CT-US-U 9x16-20190704-i-set1_sounds-1 - Copy,0.0,#23843446221370324,WB-i-CT 2019-27,0.0,0.0,0.0,APP_INSTALLS,0,ACTIVE
1939,#23843446225850324,WB-i-CT-US-U 4x5-20190704-K-set1_aim_test-1 - Copy,0.0,#23843446221370324,WB-i-CT 2019-27,0.0,0.0,0.0,APP_INSTALLS,0,ACTIVE
1940,#23843446225830324,WB-i-CT-US-U 9x16-20190704-i-set2_endcard-2 - Copy,0.0,#23843446221370324,WB-i-CT 2019-27,0.0,0.0,0.0,APP_INSTALLS,0,ACTIVE
1941,#23843446225820324,WB-i-CT-US-U 9x16-20190704-i-set2_endcard-1 - Copy,0.0,#23843446221370324,WB-i-CT 2019-27,0.0,0.0,0.0,APP_INSTALLS,0,ACTIVE
1942,#23843446225810324,WB-i-CT-US-U 4x5-20190702-K-set1_10sec_zoomedin-1 - Copy,0.0,#23843446221370324,WB-i-CT 2019-27,0.0,0.0,0.0,APP_INSTALLS,0,ACTIVE
1943,#23843446225800324,WB-i-CT-US-U 9x16-20190704-i-set3_perfect-1 - Copy,0.0,#23843446221370324,WB-i-CT 2019-27,0.0,0.0,0.0,APP_INSTALLS,0,ACTIVE
1944,#23843446225790324,WB-i-CT-US-U 9x16-20190704-i-set1_fast-3 - Copy,0.0,#23843446221370324,WB-i-CT 2019-27,0.0,0.0,0.0,APP_INSTALLS,0,ACTIVE
1945,#23843446200510324,WB-i-CT-US-U,0.0,#23843446200500324,WB-i-CT,0.0,0.0,0.0,APP_INSTALLS,0,ACTIVE
1946,#23843446160150324,WB-I-L-DACH-U,0.0,#23843446160170324,WB-i-L-DACH,0.0,0.0,0.0,APP_INSTALLS,0,ACTIVE
1947,#23843446155680324,WB-I-L-RU-U,0.0,#23843446155690324,WB-i-L-RU,0.0,0.0,0.0,APP_INSTALLS,0,ACTIVE
1948,#23843446151710324,WB-I-L-BR-U,0.0,#23843446140490324,WB-i-L-BR,0.0,0.0,0.0,APP_INSTALLS,0,ACTIVE
1949,#23843446140510324,WB-i-L-BR-U,0.0,#23843446140490324,WB-i-L-BR,0.0,0.0,0.0,APP_INSTALLS,0,ARCHIVED
1950,#23843446135720324,WB-a-L-Scandic-U,0.0,#23843446135750324,WB-a-L-Scandic,0.0,0.0,0.0,APP_INSTALLS,0,ACTIVE
1951,#23843446120060324,WB-a-L-FRBENELUX-U,0.0,#23843446120130324,WB-a-L-FRBENELUX,0.0,0.0,0.0,APP_INSTALLS,0,ACTIVE
1952,#23843446116170324,WB-a-L-DACH-U,0.0,#23843446116160324,WB-a-L-DACH,0.0,0.0,0.0,APP_INSTALLS,0,ACTIVE
1953,#23843446111690324,WB-a-L-JP-U,0.0,#23843446111710324,WB-a-L-JP,0.0,0.0,0.0,APP_INSTALLS,0,PAUSED
1954,#23843446105560324,WB-a-L-CAAUUK-U,0.0,#23843446105550324,WB-a-L-CAAUUK,0.0,0.0,0.0,APP_INSTALLS,0,ACTIVE
1955,#23843446083740324,WB-a-L-US-U,0.0,#23843446083720324,WB-a-L-US,0.0,0.0,0.0,APP_INSTALLS,0,PAUSED
1956,#23843444878010324,WB-a-CT-US-U 9x16-20190704-A-set3_perfect-1,0.0,#23843444099740324,WB-a-CT 2019-27,0.0,0.0,0.0,APP_INSTALLS,0,ACTIVE
1957,#23843444875780324,WB-a-CT-US-U 9x16-20190704-A-set2_endcard-2,0.0,#23843444099740324,WB-a-CT 2019-27,0.0,0.0,0.0,APP_INSTALLS,0,ACTIVE
1958,#23843444868460324,WB-a-CT-US-U 9x16-20190704-A-set2_endcard-1,0.0,#23843444099740324,WB-a-CT 2019-27,0.0,0.0,0.0,APP_INSTALLS,0,ACTIVE
1959,#23843444837960324,WB-a-CT-US-U 9x16-20190704-A-set1_fast-3,0.0,#23843444099740324,WB-a-CT 2019-27,0.0,0.0,0.0,APP_INSTALLS,0,ACTIVE
1960,#23843444706520324,WB-a-CT-US-U 9x16-20190627-K-set1_wreckingball-1,0.0,#23843444688560324,WB-a-CT 2019-26,0.0,0.0,0.0,APP_INSTALLS,0,ACTIVE
1961,#23843444702520324,WB-a-CT-US-U 9x16-20190626-K-set1_playstore-1,0.0,#23843444688560324,WB-a-CT 2019-26,0.0,0.0,0.0,APP_INSTALLS,0,ACTIVE
1962,#23843444699120324,WB-a-CT-US-U 9x16-20190626-K-set2_wreckingball-1,0.0,#23843444688560324,WB-a-CT 2019-26,0.0,0.0,0.0,APP_INSTALLS,0,ACTIVE
1963,#23843444693720324,WB-a-CT-US-U 16x9-20190703-C-set1_real-1,0.0,#23843444099740324,WB-a-CT 2019-27,0.0,0.0,0.0,APP_INSTALLS,0,ACTIVE
1964,#23843444690720324,WB-a-CT-US-U 4x5-20190702-K-set1_10sec_zoomedin-1,0.0,#23843444099740324,WB-a-CT 2019-27,0.0,0.0,0.0,APP_INSTALLS,0,ACTIVE
1965,#23843444688900324,WB-a-CT-US-U 4x5-20190627-K-set1_wreckingball-1,0.0,#23843444688560324,WB-a-CT 2019-26,0.0,0.0,0.0,APP_INSTALLS,0,ACTIVE
1966,#23843444685470324,WB-a-CT-US-U 4x5-20190702-K-set1_30seconds-1,0.0,#23843444099740324,WB-a-CT 2019-27,0.0,0.0,0.0,APP_INSTALLS,0,ACTIVE
1967,#23843444681070324,WB-a-CT-US-U 9x16-20190703-C-set1_real-1,0.0,#23843444099740324,WB-a-CT 2019-27,0.0,0.0,0.0,APP_INSTALLS,0,ACTIVE
1968,#23843444680800324,WB-a-CT-US-U 4x5-20190702-K-set1_10seconds_zoomedin-1,0.0,#23843444099740324,WB-a-CT 2019-27,0.0,0.0,0.0,APP_INSTALLS,0,ACTIVE
1969,#23843444596200324,WB-a-CT-US-U 4x5-20190704-K-set1_aim_test-1,0.0,#23843444099740324,WB-a-CT 2019-27,0.0,0.0,0.0,APP_INSTALLS,0,ACTIVE
1970,#23843444593220324,WB-a-CT-US-U 16x9-20190704-R-set1-1,0.0,#23843444099740324,WB-a-CT 2019-27,0.0,0.0,0.0,APP_INSTALLS,0,ACTIVE
1971,#23843444394050324,WB-a-CT-US-U 9x16-20190704-A-set1_fast-2,0.0,#23843444099740324,WB-a-CT 2019-27,0.0,0.0,0.0,APP_INSTALLS,0,ACTIVE
1972,#23843444387450324,WB-a-CT-US-U 9x16-20190704-A-set1_sounds-1,0.0,#23843444099740324,WB-a-CT 2019-27,0.0,0.0,0.0,APP_INSTALLS,0,ACTIVE
1973,#23843444383320324,WB-a-CT-US-U 9x16-20190704-A-set1_fast-1,0.0,#23843444099740324,WB-a-CT 2019-27,0.0,0.0,0.0,APP_INSTALLS,0,ACTIVE
1974,#23843444354210324,WB-a-CT-US-U 9x16-20190704-C-set1_screen-1,0.0,#23843444099740324,WB-a-CT 2019-27,0.0,0.0,0.0,APP_INSTALLS,0,ACTIVE
1975,#23843444099770324,WB-a-CT-US-U 9x16-20190704-C-set1_real-1,0.0,#23843444099740324,WB-a-CT 2019-27,0.0,0.0,0.0,APP_INSTALLS,0,ACTIVE
1976,#23843442165870324,WB-a-CT-US-U,0.0,#23843442165850324,WB-a-CT,0.0,0.0,0.0,APP_INSTALLS,0,ACTIVE
1977,#23843854115440644,WB-a-CT-US-U 9x16-20191114-K-uirealiteration-1,0.0,#23843846104640644,WB-a-CT 2019-46,0.0,0.0,0.0,APP_INSTALLS,0,PAUSED
1978,#23843854114650644,WB-i-CT-US-U 9x16-20191114-K-uirealiteration-1,0.0,#23843846104490644,WB-i-CT 2019-46,0.0,0.0,0.0,APP_INSTALLS,0,ACTIVE
1979,#23843854112220644,WB-a-CT-US-U 4x5-20191114-K-uirealiteration-1,0.0,#23843846104640644,WB-a-CT 2019-46,0.0,0.0,0.0,APP_INSTALLS,0,PAUSED
1980,#23843854112070644,WB-i-CT-US-U 4x5-20191114-K-uirealiteration-1,0.0,#23843846104490644,WB-i-CT 2019-46,0.0,0.0,0.0,APP_INSTALLS,0,ACTIVE
1981,#23843854110590644,WB-a-CT-US-U 1x1-20191114-K-uirealiteration-1,0.0,#23843846104640644,WB-a-CT 2019-46,0.0,0.0,0.0,APP_INSTALLS,0,PAUSED
1982,#23843854110500644,WB-i-CT-US-U 1x1-20191114-K-uirealiteration-1,0.0,#23843846104490644,WB-i-CT 2019-46,0.0,0.0,0.0,APP_INSTALLS,0,ACTIVE
1983,#23843846110030644,WB-a-CT-US-U 9x16-20191112-K-realeffects-1,0.0,#23843846104640644,WB-a-CT 2019-46,0.0,0.0,0.0,APP_INSTALLS,0,PAUSED
1984,#23843846109630644,WB-i-CT-US-U 9x16-20191112-K-realeffects-1,0.0,#23843846104490644,WB-i-CT 2019-46,0.0,0.0,0.0,APP_INSTALLS,0,ACTIVE
1985,#23843846105270644,WB-a-CT-US-U 4x5-20191112-K-realeffects-1,0.0,#23843846104640644,WB-a-CT 2019-46,0.0,0.0,0.0,APP_INSTALLS,0,PAUSED
1986,#23843846105100644,WB-i-CT-US-U 4x5-20191112-K-realeffects-1,0.0,#23843846104490644,WB-i-CT 2019-46,0.0,0.0,0.0,APP_INSTALLS,0,ACTIVE
1987,#23843846104800644,WB-a-CT-US-U 1x1-20191112-K-realeffects-1,0.0,#23843846104640644,WB-a-CT 2019-46,0.0,0.0,0.0,APP_INSTALLS,0,PAUSED
1988,#23843846104550644,WB-i-CT-US-U 1x1-20191112-K-realeffects-1,0.0,#23843846104490644,WB-i-CT 2019-46,0.0,0.0,0.0,APP_INSTALLS,0,ACTIVE
